,type,game_id,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score,h_win,a_win,h_totfd,a_totfd,h_totyds,a_totyds,h_pyds,a_pyds,h_ryds,a_ryds,h_pen,a_pen,h_penyds,a_penyds,h_trnovr,a_trnovr,h_pt,a_pt,h_ptyds,a_ptyds,h_ptavg,a_ptavg,h_top,a_top,net_win,net_totfd,net_totyds,net_pyds,net_ryds,net_pen,net_penyds,net_trnovr,net_pt,net_ptyds,net_ptavg,net_top
0,reg,2017090700,NE,KC,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017090700/2017090700_gtd.json,27,42,0,1,25,26,371,537,247,352,124,185,6,15,55,139,0,1,6,6,242,262,39,42,29.766666666666666,30.23333333333333,-1,-1,-166,-105,-61,-9,-84,-1,0,-20,-3,-0.466666666666665
1,reg,2017091000,BUF,NYJ,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091000/2017091000_gtd.json,21,12,1,0,23,11,408,214,218,176,190,38,6,5,50,62,1,2,6,6,257,297,35,44,33.06666666666667,26.93333333333333,1,12,194,42,152,1,-12,-1,0,-40,-9,6.13333333333334
2,reg,2017091008,WAS,PHI,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091008/2017091008_gtd.json,17,30,0,1,16,19,264,356,200,298,64,58,2,8,15,76,4,2,4,4,162,170,41,42,25.73333333333333,34.266666666666666,-1,-3,-92,-98,6,-6,-61,2,0,-8,-1,-8.533333333333335
3,reg,2017091007,TEN,OAK,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091007/2017091007_gtd.json,16,26,0,1,21,22,350,359,255,250,95,109,5,5,49,49,0,0,4,3,188,158,41,44,28.35,31.65,-1,-1,-9,5,-14,0,0,0,1,30,-3,-3.299999999999997
4,reg,2017091005,HOU,JAX,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091005/2017091005_gtd.json,7,29,0,1,23,19,203,280,110,125,93,155,9,10,94,89,4,0,5,4,216,187,42,37,29.91666666666667,30.08333333333333,-1,4,-77,-15,-62,-1,5,4,1,29,5,-0.1666666666666572
5,reg,2017091004,DET,ARI,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091004/2017091004_gtd.json,35,23,1,0,19,24,367,309,285,264,82,45,10,6,100,55,1,4,5,4,189,184,38,34,33.333333333333336,26.66666666666667,1,-5,58,21,37,4,45,-3,1,5,4,6.666666666666664
6,reg,2017091003,CLE,PIT,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091003/2017091003_gtd.json,18,21,0,1,20,16,237,290,180,255,57,35,4,13,61,144,1,1,6,6,242,275,30,40,31.16666666666667,28.83333333333333,-1,4,-53,-75,22,-9,-83,0,0,-33,-10,2.333333333333343
7,reg,2017091001,CHI,ATL,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091001/2017091001_gtd.json,17,23,0,1,20,18,301,372,176,308,125,64,4,8,40,73,0,0,5,3,244,178,40,44,29.43333333333333,30.566666666666666,-1,2,-71,-132,61,-4,-33,0,2,66,-4,-1.1333333333333364
8,reg,2017091002,CIN,BAL,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091002/2017091002_gtd.json,0,20,0,1,14,17,221,268,144,111,77,157,9,11,66,85,5,1,5,6,212,250,38,39,26.0,34.0,-1,-3,-47,33,-80,-2,-19,4,-1,-38,-1,-8.0
9,reg,2017091009,LA,IND,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091009/2017091009_gtd.json,46,9,1,0,19,10,373,225,310,150,63,75,7,4,50,20,1,3,5,6,218,302,44,48,34.416666666666664,25.58333333333333,1,9,148,160,-12,3,30,-2,-1,-84,-4,8.833333333333336
10,reg,2017091011,SF,CAR,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091011/2017091011_gtd.json,3,23,0,1,13,20,217,287,166,171,51,116,10,5,74,40,2,2,4,3,163,155,39,49,25.65,34.35,-1,-7,-70,-5,-65,5,34,0,1,8,-10,-8.700000000000003
