,type,game_id,home_team,away_team,week,season,lastN_net_totfd,lastN_net_totyds,lastN_net_pyds,lastN_net_ryds,lastN_net_pen,lastN_net_penyds,lastN_net_trnover,lastN_net_pt,lastN_net_ptyds,lastN_net_ptavg,lastN_net_top,,N = 6 Weeks
0,reg,2018090600,PHI,ATL,1,2018,0.166666667,-28.33333333,-21.5,-6.833333333,2,1.833333333,0.666666667,1,26.66666667,-0.5,1.630555556,,
1,reg,2018090900,BAL,BUF,1,2018,4,44.5,66.16666667,-21.66666667,1.166666667,4.666666667,-0.166666667,0.166666667,2.166666667,-1.666666667,1.847222222,,
2,reg,2018090907,NYG,JAX,1,2018,-5.166666667,-48.66666667,-44,-4.666666667,-2,0.666666667,-0.166666667,1.5,52.66666667,-2.833333333,-1.347222222,,
3,reg,2018090906,NO,TB,1,2018,-7.166666667,-47,-43.33333333,-3.666666667,0.833333333,22.16666667,-1,2,96.33333333,-0.666666667,-1.758333333,,
4,reg,2018090905,NE,HOU,1,2018,6.666666667,96.83333333,51.5,45.33333333,-3.333333333,-27.66666667,-0.333333333,-1.833333333,-108.1666667,2,1.361111111,,
5,reg,2018090904,MIN,SF,1,2018,-1.333333333,-57.5,-70,12.5,-0.5,-2.333333333,-0.5,1.666666667,82.83333333,3.833333333,1.013888889,,
6,reg,2018090903,MIA,TEN,1,2018,0.5,41.66666667,54,-12.33333333,4.666666667,50.33333333,0.666666667,0.5,8.5,-4.666666667,1.583333333,,
7,reg,2018090902,IND,CIN,1,2018,-2.333333333,-47.83333333,-50.5,2.666666667,-2.5,-38.66666667,-0.5,-0.833333333,-43.83333333,1.166666667,0.725,,
8,reg,2018090901,CLE,PIT,1,2018,-7.5,-89.66666667,-99.33333333,9.666666667,1.5,-0.666666667,1,1,52.5,-3.5,-4.725,,
9,reg,2018090908,LAC,KC,1,2018,3.166666667,52.5,63.83333333,-11.33333333,0.333333333,10.66666667,0.166666667,-0.166666667,-9.666666667,-10.83333333,3.080555556,,
10,reg,2018090911,DEN,SEA,1,2018,1.666666667,46.66666667,23.16666667,23.5,-0.833333333,-27.16666667,0.833333333,-1.166666667,-60.5,5.333333333,3.805555556,,
11,reg,2018090910,CAR,DAL,1,2018,0,-12.83333333,-22.83333333,10,-0.166666667,-10.66666667,-0.333333333,0.833333333,38.33333333,-1.166666667,0.130555556,,
12,reg,2018090909,ARI,WAS,1,2018,4.666666667,24.33333333,-20.83333333,45.16666667,0.166666667,-0.666666667,-0.5,-0.833333333,-27.16666667,1.833333333,5.505555556,,
13,reg,2018090912,GB,CHI,1,2018,2.166666667,37.66666667,-0.666666667,38.33333333,-2.833333333,-21.33333333,1,-1.166666667,-57.66666667,0.666666667,0.861111111,,
14,reg,2018091000,DET,NYJ,1,2018,0.666666667,34.16666667,79.66666667,-45.5,1,17,0.333333333,-1.666666667,-84.16666667,1,-1.108333333,,
15,reg,2018091001,OAK,LA,1,2018,-2.166666667,-18.33333333,-3,-15.33333333,1.666666667,7.666666667,0.833333333,0.166666667,-18.16666667,-4,-0.608333333,,
16,reg,2018091300,CIN,BAL,2,2018,-5.166666667,-60.33333333,-51.5,-8.833333333,1.833333333,36.66666667,0.833333333,0.5,40.33333333,6.166666667,-5.116666667,,
17,reg,2018091600,ATL,CAR,2,2018,0.166666667,37,69,-32,2,21.5,-0.166666667,-0.833333333,-31.66666667,0.833333333,0.722222222,,
18,reg,2018091608,WAS,IND,2,2018,-2,6.666666667,41,-34.33333333,2.333333333,14.33333333,1.333333333,2.166666667,119,-3.5,-0.313888889,,
19,reg,2018091607,TEN,HOU,2,2018,0.833333333,28,24,4,-4.166666667,-33.5,0.166666667,-1.333333333,-69,5.333333333,0.061111111,,
20,reg,2018091606,TB,PHI,2,2018,5.166666667,109.3333333,98.66666667,10.66666667,-1.166666667,-6,0.666666667,-2.666666667,-115.1666667,4.166666667,-0.377777778,,
21,reg,2018091605,PIT,KC,2,2018,2.666666667,9.666666667,24.5,-14.83333333,0.166666667,14.16666667,1.166666667,1,26.83333333,-3.833333333,2.380555556,,
22,reg,2018091604,NYJ,MIA,2,2018,-1.833333333,-58,-76.16666667,18.16666667,-2.666666667,-40.16666667,-0.333333333,1,43.83333333,-0.5,-0.5,,
23,reg,2018091601,BUF,LAC,2,2018,-7.666666667,-155.5,-176.5,21,-2.166666667,-8.833333333,-0.333333333,1,41,4.333333333,-4.597222222,,
24,reg,2018091602,GB,MIN,2,2018,-1.166666667,-9,-6.5,-2.5,-0.333333333,-4.166666667,1.333333333,-1.333333333,-48.66666667,0.166666667,-3.569444444,,
