,type,game_id,home_team,away_team,week,season,game_url,home_score,away_score,h_win,lastN_net_totfd,lastN_net_totyds,lastN_net_pyds,lastN_net_ryds,lastN_net_pen,lastN_net_penyds,lastN_net_trnover,lastN_net_pt,lastN_net_ptyds,lastN_net_ptavg,lastN_net_top
0,reg,2018090600,PHI,ATL,1,2018,http://www.nfl.com/liveupdate/game-center/2018090600/2018090600_gtd.json,18,12,1,-5.75,-58.0,-23.5,-34.5,1.75,37.0,0.25,1.5,63.5,-1.25,-12.224999999999994
1,reg,2018090900,BAL,BUF,1,2018,http://www.nfl.com/liveupdate/game-center/2018090900/2018090900_gtd.json,47,3,1,-1.75,-49.5,9.0,-58.5,0.0,13.0,0.5,0.75,31.5,-3.5,3.8708333333333353
2,reg,2018090907,NYG,JAX,1,2018,http://www.nfl.com/liveupdate/game-center/2018090907/2018090907_gtd.json,15,20,0,2.75,4.25,-5.25,9.5,1.25,32.5,2.0,2.0,61.75,-18.25,-0.9249999999999998
3,reg,2018090906,NO,TB,1,2018,http://www.nfl.com/liveupdate/game-center/2018090906/2018090906_gtd.json,40,48,0,1.75,87.75,63.75,24.0,-2.0,-0.5,0.25,-1.25,-65.0,0.0,5.091666666666668
4,reg,2018090905,NE,HOU,1,2018,http://www.nfl.com/liveupdate/game-center/2018090905/2018090905_gtd.json,27,20,1,5.0,56.0,4.75,51.25,1.25,3.0,-0.25,0.0,-33.75,-4.25,9.525000000000002
5,reg,2018090904,MIN,SF,1,2018,http://www.nfl.com/liveupdate/game-center/2018090904/2018090904_gtd.json,24,16,1,7.0,159.25,61.0,98.25,4.25,22.25,0.75,-1.0,-84.5,-6.5,6.833333333333336
6,reg,2018090903,MIA,TEN,1,2018,http://www.nfl.com/liveupdate/game-center/2018090903/2018090903_gtd.json,27,20,1,3.5,21.5,2.5,19.0,-0.5,10.75,0.0,0.0,27.0,5.5,0.3833333333333284
7,reg,2018090902,IND,CIN,1,2018,http://www.nfl.com/liveupdate/game-center/2018090902/2018090902_gtd.json,23,34,0,-1.0,-13.0,-25.25,12.25,-1.5,-15.75,-0.25,1.5,50.5,-7.0,-1.5958333333333368
8,reg,2018090901,CLE,PIT,1,2018,http://www.nfl.com/liveupdate/game-center/2018090901/2018090901_gtd.json,21,21,0,-2.25,-45.75,-61.0,15.25,-2.5,-53.25,0.5,-1.25,-61.0,1.25,-7.704166666666669
9,reg,2018090908,LAC,KC,1,2018,http://www.nfl.com/liveupdate/game-center/2018090908/2018090908_gtd.json,28,38,0,1.0,51.5,29.5,22.0,1.25,-14.75,1.0,0.5,35.75,-3.75,-4.9
10,reg,2018090911,DEN,SEA,1,2018,http://www.nfl.com/liveupdate/game-center/2018090911/2018090911_gtd.json,27,24,1,2.25,-13.25,6.0,-19.25,-3.25,-15.75,-1.0,-1.0,-34.5,-3.5,2.2083333333333326
11,reg,2018090910,CAR,DAL,1,2018,http://www.nfl.com/liveupdate/game-center/2018090910/2018090910_gtd.json,16,8,1,0.5,18.5,-31.5,50.0,-0.75,23.0,-4.0,1.25,55.25,-2.5,3.575
12,reg,2018090909,ARI,WAS,1,2018,http://www.nfl.com/liveupdate/game-center/2018090909/2018090909_gtd.json,6,24,0,-5.0,-109.25,-72.0,-37.25,-1.0,3.5,-0.25,1.75,49.0,-1.5,-0.9999999999999956
13,reg,2018090912,GB,CHI,1,2018,http://www.nfl.com/liveupdate/game-center/2018090912/2018090912_gtd.json,24,23,1,0.5,70.75,69.25,1.5,3.25,51.25,-0.25,-0.5,-6.75,-1.0,-1.6791666666666671
14,reg,2018091000,DET,NYJ,1,2018,http://www.nfl.com/liveupdate/game-center/2018091000/2018091000_gtd.json,17,48,0,-1.0,-49.0,-20.0,-29.0,-1.0,-15.25,-1.5,0.25,18.25,0.0,-4.300000000000006
15,reg,2018091001,OAK,LA,1,2018,http://www.nfl.com/liveupdate/game-center/2018091001/2018091001_gtd.json,13,33,0,12.0,200.75,119.25,81.5,1.0,-19.5,-2.25,-2.5,-146.5,-6.25,9.249999999999998
16,reg,2018091300,CIN,BAL,2,2018,http://www.nfl.com/liveupdate/game-center/2018091300/2018091300_gtd.json,34,23,1,3.5,47.5,40.0,7.5,0.0,17.5,-1.0,-0.5,-14.25,4.0,3.4583333333333344
17,reg,2018091600,ATL,CAR,2,2018,http://www.nfl.com/liveupdate/game-center/2018091600/2018091600_gtd.json,31,24,1,-2.0,-11.75,36.25,-48.0,-0.5,-21.75,1.75,-0.75,-16.0,3.75,-1.1666666666666679
18,reg,2018091608,WAS,IND,2,2018,http://www.nfl.com/liveupdate/game-center/2018091608/2018091608_gtd.json,9,21,0,-5.25,18.0,17.75,0.25,2.5,15.5,-0.25,-1.0,-15.0,5.25,-7.966666666666665
19,reg,2018091607,TEN,HOU,2,2018,http://www.nfl.com/liveupdate/game-center/2018091607/2018091607_gtd.json,20,17,1,-5.0,-55.25,-15.25,-40.0,2.0,18.5,-1.5,0.0,-22.25,-7.75,0.8166666666666655
20,reg,2018091606,TB,PHI,2,2018,http://www.nfl.com/liveupdate/game-center/2018091606/2018091606_gtd.json,27,21,1,1.5,-13.0,-11.25,-1.75,-1.0,-7.25,0.75,0.25,36.0,6.0,-0.10000000000000342
21,reg,2018091605,PIT,KC,2,2018,http://www.nfl.com/liveupdate/game-center/2018091605/2018091605_gtd.json,37,42,0,-7.0,-126.5,-136.75,10.25,1.75,16.0,0.0,3.5,175.25,1.75,-6.775
22,reg,2018091604,NYJ,MIA,2,2018,http://www.nfl.com/liveupdate/game-center/2018091604/2018091604_gtd.json,12,20,0,1.75,5.75,-9.5,15.25,-3.0,-27.25,3.0,-0.5,-28.5,-6.75,-3.4583333333333313
23,reg,2018091601,BUF,LAC,2,2018,http://www.nfl.com/liveupdate/game-center/2018091601/2018091601_gtd.json,20,31,0,1.75,-5.0,16.25,-21.25,1.0,8.5,-0.25,-0.25,-5.5,13.5,-2.3333333333333353
24,reg,2018091602,GB,MIN,2,2018,http://www.nfl.com/liveupdate/game-center/2018091602/2018091602_gtd.json,29,29,0,-3.5,-37.0,41.0,-78.0,-3.25,-6.0,-0.75,0.5,44.25,1.0,-7.066666666666668
25,reg,2018091603,NO,CLE,2,2018,http://www.nfl.com/liveupdate/game-center/2018091603/2018091603_gtd.json,21,18,1,4.5,115.0,145.0,-30.0,0.25,28.25,2.0,-1.75,-70.0,5.75,3.5250000000000075
26,reg,2018091610,SF,DET,2,2018,http://www.nfl.com/liveupdate/game-center/2018091610/2018091610_gtd.json,30,27,1,-7.25,-83.75,-92.75,9.0,5.5,41.0,-1.0,1.75,68.25,8.25,3.5500000000000034
27,reg,2018091609,LA,ARI,2,2018,http://www.nfl.com/liveupdate/game-center/2018091609/2018091609_gtd.json,34,0,1,-0.5,-42.5,-19.75,-22.75,3.0,29.75,1.25,1.5,58.5,-7.5,4.491666666666665
28,reg,2018091612,JAX,NE,2,2018,http://www.nfl.com/liveupdate/game-center/2018091612/2018091612_gtd.json,31,20,1,-5.25,-22.0,12.25,-34.25,-4.0,-37.25,-1.75,-2.0,-67.5,6.5,-3.2083333333333393
29,reg,2018091611,DEN,OAK,2,2018,http://www.nfl.com/liveupdate/game-center/2018091611/2018091611_gtd.json,20,19,1,-0.5,-37.75,-29.0,-8.75,-4.25,-27.75,0.5,-1.25,-71.25,-0.5,0.30833333333333135
30,reg,2018091613,DAL,NYG,2,2018,http://www.nfl.com/liveupdate/game-center/2018091613/2018091613_gtd.json,20,13,1,-3.5,-68.25,-35.25,-33.0,3.5,9.25,1.0,-0.5,-15.75,8.25,-1.8416666666666641
31,reg,2018091700,CHI,SEA,2,2018,http://www.nfl.com/liveupdate/game-center/2018091700/2018091700_gtd.json,24,17,1,0.75,1.5,-39.5,41.0,-2.5,-27.0,-1.75,0.0,9.25,1.0,2.966666666666665
32,reg,2018092000,CLE,NYJ,3,2018,http://www.nfl.com/liveupdate/game-center/2018092000/2018092000_gtd.json,21,17,1,-1.25,-78.0,-87.75,9.75,-1.0,-10.25,-3.5,1.5,61.75,9.25,2.2416666666666636
33,reg,2018092300,ATL,NO,3,2018,http://www.nfl.com/liveupdate/game-center/2018092300/2018092300_gtd.json,37,43,0,-2.25,8.25,-27.5,35.75,-0.75,-6.5,-1.75,-0.75,-42.75,-5.75,2.241666666666667
34,reg,2018092309,WAS,GB,3,2018,http://www.nfl.com/liveupdate/game-center/2018092309/2018092309_gtd.json,31,17,1,-0.25,6.75,-9.5,16.25,0.0,-5.25,-0.25,0.25,-9.0,-1.5,0.1333333333333362
35,reg,2018092308,PHI,IND,3,2018,http://www.nfl.com/liveupdate/game-center/2018092308/2018092308_gtd.json,20,16,1,-7.0,-88.5,-55.25,-33.25,-1.25,-25.75,0.25,0.25,25.0,4.75,-10.533333333333328
