,type,game_id,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score,h_win,a_win,h_totfd,a_totfd,h_totyds,a_totyds,h_pyds,a_pyds,h_ryds,a_ryds,h_pen,a_pen,h_penyds,a_penyds,h_trnovr,a_trnovr,h_pt,a_pt,h_ptyds,a_ptyds,h_ptavg,a_ptavg,h_top,a_top
0,reg,2018090600,PHI,ATL,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090600/2018090600_gtd.json,18,12,1,0,18,16,232,299,119,225,113,74,11,15,101,135,2,1,6,6,313,286,47,43,32:10,27:50
1,reg,2018090900,BAL,BUF,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090900/2018090900_gtd.json,47,3,1,0,26,10,369,153,252,70,117,83,9,10,78,100,1,2,5,8,257,397,48,43,35:14,24:46
2,reg,2018090907,NYG,JAX,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090907/2018090907_gtd.json,15,20,0,1,15,17,324,305,210,168,114,137,6,11,43,119,2,1,5,7,247,264,43,37,30:29,29:31
3,reg,2018090906,NO,TB,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090906/2018090906_gtd.json,40,48,0,1,26,26,475,529,432,417,43,112,8,7,77,70,2,0,3,1,156,42,46,42,27:51,32:09
4,reg,2018090905,NE,HOU,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090905/2018090905_gtd.json,27,20,1,0,23,21,389,325,267,158,122,167,6,6,36,44,3,2,6,6,281,230,44,38,31:10,28:50
5,reg,2018090904,MIN,SF,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090904/2018090904_gtd.json,24,16,1,0,19,20,343,327,227,237,116,90,7,3,52,21,1,4,6,4,230,174,36,42,31:09,28:51
6,reg,2018090903,MIA,TEN,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090903/2018090903_gtd.json,27,20,1,0,18,19,342,336,222,220,120,116,7,5,51,48,2,3,4,4,215,179,33,45,30:25,29:35
7,reg,2018090902,IND,CIN,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090902/2018090902_gtd.json,23,34,0,1,24,19,380,330,305,229,75,101,7,8,91,94,2,2,2,2,95,96,48,48,32:48,27:12
8,reg,2018090901,CLE,PIT,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090901/2018090901_gtd.json,21,21,0,0,22,25,327,472,150,313,177,159,11,12,87,116,1,6,12,7,522,275,37,37,34:48,35:12
9,reg,2018090908,LAC,KC,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090908/2018090908_gtd.json,28,38,0,1,33,19,541,362,418,256,123,106,7,6,45,50,2,0,3,5,144,256,16,52,34:26,25:34
10,reg,2018090911,DEN,SEA,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090911/2018090911_gtd.json,27,24,1,0,25,13,470,306,324,242,146,64,7,7,60,45,3,3,6,6,267,354,43,58,35:08,24:52
11,reg,2018090910,CAR,DAL,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090910/2018090910_gtd.json,16,8,1,0,20,17,293,232,146,138,147,94,9,10,80,85,1,1,6,6,287,293,42,39,30:36,29:24
12,reg,2018090909,ARI,WAS,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090909/2018090909_gtd.json,6,24,0,1,14,30,213,429,145,247,68,182,9,9,67,63,2,1,5,4,263,186,46,36,21:52,38:08
13,reg,2018090912,GB,CHI,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090912/2018090912_gtd.json,24,23,1,0,16,18,370,294,301,155,69,139,8,5,72,35,2,1,4,4,192,201,37,46,26:38,33:22
14,reg,2018091000,DET,NYJ,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091000/2018091000_gtd.json,17,48,0,1,20,18,339,349,300,180,39,169,3,7,15,49,5,2,3,3,152,112,5,37,26:53,33:07
15,reg,2018091001,OAK,LA,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091001/2018091001_gtd.json,13,33,0,1,20,23,395,365,300,225,95,140,11,8,155,70,3,0,4,2,178,117,42,54,31:31,28:29
16,reg,2018091300,CIN,BAL,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091300/2018091300_gtd.json,34,23,1,0,24,28,373,425,265,359,108,66,9,7,92,51,0,3,6,3,241,169,41,42,31:50,28:10
17,reg,2018091600,ATL,CAR,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091600/2018091600_gtd.json,31,24,1,0,23,27,442,439,272,318,170,121,2,7,26,49,1,1,4,4,179,191,38,47,29:42,30:18
18,reg,2018091608,WAS,IND,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091608/2018091608_gtd.json,9,21,0,1,20,17,334,281,269,177,65,104,7,6,90,26,1,2,5,5,182,235,36,42,33:20,26:40
19,reg,2018091607,TEN,HOU,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091607/2018091607_gtd.json,20,17,1,0,15,21,283,437,183,289,100,148,8,11,70,88,0,1,5,4,261,164,47,36,30:22,29:38
20,reg,2018091606,TB,PHI,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091606/2018091606_gtd.json,27,21,1,0,18,24,436,412,393,321,43,91,4,6,44,55,2,2,6,5,260,280,41,46,24:21,35:39
21,reg,2018091605,PIT,KC,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091605/2018091605_gtd.json,37,42,0,1,33,24,475,449,442,322,33,127,12,12,90,76,0,1,5,2,226,100,32,47,32:11,27:49
22,reg,2018091604,NYJ,MIA,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091604/2018091604_gtd.json,12,20,0,1,21,18,362,257,320,122,42,135,7,2,50,10,3,2,5,6,263,295,43,49,31:35,28:25
23,reg,2018091601,BUF,LAC,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091601/2018091601_gtd.json,20,31,0,1,17,21,293,349,209,240,84,109,6,6,31,45,2,0,5,5,223,233,37,41,26:58,33:02
24,reg,2018091602,GB,MIN,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091602/2018091602_gtd.json,29,29,0,0,24,24,351,480,253,412,98,68,7,8,54,70,0,1,5,5,259,204,45,31,38:08,31:52
25,reg,2018091603,NO,CLE,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091603/2018091603_gtd.json,21,18,1,0,18,16,275,327,213,234,62,93,4,4,53,43,2,1,4,3,179,118,45,39,32:41,27:19
26,reg,2018091610,SF,DET,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091610/2018091610_gtd.json,30,27,1,0,23,25,346,427,156,329,190,98,9,10,86,105,0,1,5,5,227,211,43,39,29:34,30:26
27,reg,2018091609,LA,ARI,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091609/2018091609_gtd.json,34,0,1,0,24,5,432,137,342,83,90,54,5,9,49,47,1,1,2,8,102,403,41,34,34:08,25:52
28,reg,2018091612,JAX,NE,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091612/2018091612_gtd.json,31,20,1,0,27,18,480,302,376,220,104,82,7,2,71,25,2,1,3,4,106,222,35,45,30:46,29:14
29,reg,2018091611,DEN,OAK,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091611/2018091611_gtd.json,20,19,1,0,20,21,385,373,217,281,168,92,6,4,35,30,1,0,4,4,204,189,44,42,27:04,32:56
30,reg,2018091613,DAL,NYG,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091613/2018091613_gtd.json,20,13,1,0,16,17,298,255,160,220,138,35,6,3,47,24,0,1,4,6,173,260,40,40,27:48,32:12
31,reg,2018091700,CHI,SEA,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091700/2018091700_gtd.json,24,17,1,0,20,17,271,276,185,202,86,74,7,5,55,37,2,2,5,7,206,316,38,37,34:24,25:36
32,reg,2018092000,CLE,NYJ,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092000/2018092000_gtd.json,21,17,1,0,20,14,323,268,190,161,133,107,5,6,41,55,0,3,8,7,273,344,33,46,30:52,29:08
33,reg,2018092300,ATL,NO,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092300/2018092300_gtd.json,37,43,0,1,24,32,407,534,359,391,48,143,5,11,54,120,0,0,6,4,216,202,29,43,29:20,37:45
34,reg,2018092309,WAS,GB,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092309/2018092309_gtd.json,31,17,1,0,20,19,386,340,220,240,166,100,6,11,66,115,1,1,5,5,235,232,41,45,29:05,30:55
35,reg,2018092308,PHI,IND,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092308/2018092308_gtd.json,20,16,1,0,26,14,379,209,227,141,152,68,10,11,110,77,2,0,3,5,128,222,42,44,40:12,19:48
36,reg,2018092307,MIN,BUF,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092307/2018092307_gtd.json,6,27,0,1,21,16,292,292,278,164,14,128,6,12,59,84,3,0,5,6,259,259,45,43,24:15,35:45
37,reg,2018092306,MIA,OAK,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092306/2018092306_gtd.json,28,20,1,0,13,25,373,434,332,325,41,109,9,8,74,38,0,2,6,3,282,112,42,37,21:29,38:31
38,reg,2018092301,BAL,DEN,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092301/2018092301_gtd.json,27,14,1,0,20,18,342,293,265,173,77,120,7,13,52,120,0,1,5,7,197,287,28,39,30:14,29:46
39,reg,2018092302,CAR,CIN,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092302/2018092302_gtd.json,31,21,1,0,23,25,377,396,147,330,230,66,3,4,17,36,0,4,4,3,165,132,39,43,33:55,26:05
40,reg,2018092303,HOU,NYG,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092303/2018092303_gtd.json,22,27,0,1,21,21,427,379,368,265,59,114,7,3,50,20,2,0,3,4,155,198,50,38,24:30,35:30
41,reg,2018092304,JAX,TEN,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092304/2018092304_gtd.json,6,9,0,1,12,15,232,233,145,83,87,150,8,4,75,30,1,0,6,6,273,280,38,42,27:13,32:47
42,reg,2018092305,KC,SF,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092305/2018092305_gtd.json,38,27,1,0,31,26,384,406,307,228,77,178,6,14,48,147,0,0,2,4,87,148,43,36,30:01,29:59
43,reg,2018092310,LA,LAC,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092310/2018092310_gtd.json,35,23,1,0,33,16,521,356,350,215,171,141,6,4,64,30,2,2,1,3,49,102,38,24,34:16,25:44
44,reg,2018092312,SEA,DAL,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092312/2018092312_gtd.json,24,13,1,0,18,17,295,303,182,137,113,166,10,7,67,55,0,3,8,5,350,240,41,43,32:44,27:16
45,reg,2018092311,ARI,CHI,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092311/2018092311_gtd.json,14,16,0,1,13,21,221,316,168,194,53,122,6,7,43,45,4,2,4,3,203,158,40,44,23:39,36:21
46,reg,2018092313,DET,NE,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092313/2018092313_gtd.json,26,10,1,0,25,12,414,209,255,120,159,89,6,5,70,38,1,1,2,5,90,217,45,38,39:15,20:45
47,reg,2018092400,TB,PIT,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092400/2018092400_gtd.json,27,30,0,1,28,22,455,413,392,335,63,78,9,13,80,155,4,1,3,5,126,228,37,42,29:39,30:21
48,reg,2018092700,LA,MIN,4,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092700/2018092700_gtd.json,38,31,1,0,25,25,556,446,456,392,100,54,2,4,15,35,0,1,2,4,71,159,36,39,27:46,32:14
49,reg,2018093005,JAX,NYJ,4,2018,POST,http://www.nfl.com/liveupdate/game-center/2018093005/2018093005_gtd.json,31,12,1,0,23,10,503,178,377,144,126,34,9,6,89,43,3,0,4,7,185,345,45,45,37:35,22:25
50,reg,2018093006,NE,MIA,4,2018,POST,http://www.nfl.com/liveupdate/game-center/2018093006/2018093006_gtd.json,38,7,1,0,26,11,449,172,274,116,175,56,6,10,57,89,2,2,2,7,80,293,29,35,36:22,23:38
51,reg,2018093007,TEN,PHI,4,2018,POST,http://www.nfl.com/liveupdate/game-center/2018093007/2018093007_gtd.json,26,23,1,0,22,25,397,432,327,315,70,117,4,8,30,77,1,1,5,6,254,308,38,40,35:30,34:25
52,reg,2018093004,IND,HOU,4,2018,POST,http://www.nfl.com/liveupdate/game-center/2018093004/2018093004_gtd.json,34,37,0,1,28,30,478,466,437,347,41,119,10,10,85,54,2,1,5,5,220,207,40,38,29:56,40:04
53,reg,2018093003,GB,BUF,4,2018,POST,http://www.nfl.com/liveupdate/game-center/2018093003/2018093003_gtd.json,22,0,1,0,22,11,423,145,282,87,141,58,5,3,60,20,2,3,4,8,171,348,38,41,34:37,25:23
54,reg,2018093002,DAL,DET,4,2018,POST,http://www.nfl.com/liveupdate/game-center/2018093002/2018093002_gtd.json,26,24,1,0,26,18,414,382,231,286,183,96,2,8,20,58,0,0,2,4,78,171,39,38,30:05,29:55
55,reg,2018093001,CHI,TB,4,2018,POST,http://www.nfl.com/liveupdate/game-center/2018093001/2018093001_gtd.json,48,10,1,0,28,16,483,311,344,251,139,60,4,11,38,99,0,3,2,5,96,214,47,40,28:06,31:54
56,reg,2018093000,ATL,CIN,4,2018,POST,http://www.nfl.com/liveupdate/game-center/2018093000/2018093000_gtd.json,36,37,0,1,25,30,495,407,403,308,92,99,10,6,95,55,0,1,1,2,41,31,28,10,29:22,30:38
57,reg,2018093008,ARI,SEA,4,2018,POST,http://www.nfl.com/liveupdate/game-center/2018093008/2018093008_gtd.json,17,20,0,1,18,19,263,331,171,160,92,171,5,8,38,57,1,0,5,4,253,190,43,43,28:14,31:46
58,reg,2018093009,OAK,CLE,4,2018,POST,http://www.nfl.com/liveupdate/game-center/2018093009/2018093009_gtd.json,45,42,1,0,27,21,565,487,426,279,139,208,6,8,65,55,2,4,6,7,267,350,40,36,36:51,31:23
59,reg,2018093011,NYG,NO,4,2018,POST,http://www.nfl.com/liveupdate/game-center/2018093011/2018093011_gtd.json,18,33,0,1,22,25,299,389,234,219,65,170,6,5,67,51,2,0,4,2,204,95,42,48,29:00,31:00
60,reg,2018093010,LAC,SF,4,2018,POST,http://www.nfl.com/liveupdate/game-center/2018093010/2018093010_gtd.json,29,27,1,0,21,22,368,364,242,288,126,76,5,4,49,29,1,2,4,5,174,235,42,31,32:26,27:34
