play_id,game_id,home_team,away_team,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,quarter_end,drive,sp,qtr,down,goal_to_go,time,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,home_timeouts_remaining,away_timeouts_remaining,timeout,timeout_team,td_team,posteam_timeouts_remaining,defteam_timeouts_remaining,total_home_score,total_away_score,posteam_score,defteam_score,score_differential,posteam_score_post,defteam_score_post,score_differential_post,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,rusher_player_id,rusher_player_name,lateral_receiver_player_id,lateral_receiver_player_name,lateral_rusher_player_id,lateral_rusher_player_name,lateral_sack_player_id,lateral_sack_player_name,interception_player_id,interception_player_name,lateral_interception_player_id,lateral_interception_player_name,punt_returner_player_id,punt_returner_player_name,lateral_punt_returner_player_id,lateral_punt_returner_player_name,kickoff_returner_player_name,kickoff_returner_player_id,lateral_kickoff_returner_player_id,lateral_kickoff_returner_player_name,punter_player_id,punter_player_name,kicker_player_name,kicker_player_id,own_kickoff_recovery_player_id,own_kickoff_recovery_player_name,blocked_player_id,blocked_player_name,tackle_for_loss_1_player_id,tackle_for_loss_1_player_name,tackle_for_loss_2_player_id,tackle_for_loss_2_player_name,qb_hit_1_player_id,qb_hit_1_player_name,qb_hit_2_player_id,qb_hit_2_player_name,forced_fumble_player_1_team,forced_fumble_player_1_player_id,forced_fumble_player_1_player_name,forced_fumble_player_2_team,forced_fumble_player_2_player_id,forced_fumble_player_2_player_name,solo_tackle_1_team,solo_tackle_2_team,solo_tackle_1_player_id,solo_tackle_2_player_id,solo_tackle_1_player_name,solo_tackle_2_player_name,assist_tackle_1_player_id,assist_tackle_1_player_name,assist_tackle_1_team,assist_tackle_2_player_id,assist_tackle_2_player_name,assist_tackle_2_team,assist_tackle_3_player_id,assist_tackle_3_player_name,assist_tackle_3_team,assist_tackle_4_player_id,assist_tackle_4_player_name,assist_tackle_4_team,pass_defense_1_player_id,pass_defense_1_player_name,pass_defense_2_player_id,pass_defense_2_player_name,fumbled_1_team,fumbled_1_player_id,fumbled_1_player_name,fumbled_2_player_id,fumbled_2_player_name,fumbled_2_team,fumble_recovery_1_team,fumble_recovery_1_yards,fumble_recovery_1_player_id,fumble_recovery_1_player_name,fumble_recovery_2_team,fumble_recovery_2_yards,fumble_recovery_2_player_id,fumble_recovery_2_player_name,return_team,return_yards,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,replay_or_challenge,replay_or_challenge_result,penalty_type,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv,
37,2018090600,PHI,ATL,ATL,away,PHI,PHI,35,9/6/18,900,1800,3600,Half1,0,1,0,1,NA,0,15:00:00,PHI 35,0,73,"J.Elliott kicks 65 yards from PHI 35 to end zone, Touchback.",kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,NA,NA,NA,0,0,0,0.00137368,0.16263151,0.004440726,0.254178634,0.233081174,0.003655713,0.340638564,0,0,0.814998476,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J.Elliott,00-0033787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,
52,2018090600,PHI,ATL,ATL,away,PHI,ATL,75,9/6/18,900,1800,3600,Half1,0,1,0,1,1,0,15:00:00,ATL 25,10,73,"(15:00) PENALTY on ATL-L.Paulsen, False Start, 5 yards, enforced at ATL 25 - No Play.",no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00137368,0.16263151,0.004440726,0.254178634,0.233081174,0.003655713,0.340638564,0,0,0.814998476,-0.721759668,0.721759668,-0.721759668,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0.500006822,0.499993178,0.499993178,0.500006822,-0.021015944,0.521009123,0.478990877,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ATL,00-0027215,L.Paulsen,5,0,NA,False Start,0,0,0,0,
75,2018090600,PHI,ATL,ATL,away,PHI,ATL,80,9/6/18,900,1800,3600,Half1,0,1,0,1,1,0,15:00:00,ATL 20,15,73,(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).,pass,10,0,0,1,0,0,0,short,right,8,2,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.001475592,0.185664178,0.006936516,0.290296738,0.223435435,0.003893111,0.28829843,0,0,0.093238807,0.8183435,-0.096583832,0.096583832,0,0,-0.8183435,0.8183435,0.042240757,0.776102743,0.042240757,0.776102743,-0.042240757,0.042240757,-0.776102743,0.776102743,-0.042240757,0.042240757,-0.776102743,0.776102743,0.478990877,0.521009123,0.521009123,0.478990877,0.026109122,0.4949,0.5051,0,0,-0.026109122,0.026109122,0.001562289,0.024546833,0.001562289,0.024546833,-0.001562289,0.001562289,-0.024546833,0.024546833,-0.001562289,0.001562289,-0.024546833,0.024546833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00-0026143,M.Ryan,00-0027944,J.Jones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHI,NA,00-0026990,NA,M.Jenkins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,
104,2018090600,PHI,ATL,ATL,away,PHI,ATL,70,9/6/18,862,1762,3562,Half1,0,1,0,1,2,0,14:22:00,ATL 30,5,73,(14:22) J.Jones left end pushed ob at ATL 41 for 11 yards (D.Barnett).,run,11,0,0,0,0,0,0,NA,NA,NA,NA,left,end,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.001517735,0.161333586,0.003415822,0.248932116,0.232177933,0.003990787,0.348632021,0,0,0.911582307,1.362506782,-1.459090613,1.459090613,-1.362506782,1.362506782,-0.8183435,0.8183435,NA,NA,0,0,-0.042240757,0.042240757,-0.776102743,0.776102743,-0.042240757,0.042240757,-0.776102743,0.776102743,0.5051,0.4949,0.4949,0.5051,0.043276671,0.451623329,0.548376671,-0.043276671,0.043276671,-0.026109122,0.026109122,NA,NA,0,0,-0.001562289,0.001562289,-0.024546833,0.024546833,-0.001562289,0.001562289,-0.024546833,0.024546833,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,00-0027944,J.Jones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHI,NA,00-0033876,NA,D.Barnett,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,
125,2018090600,PHI,ATL,ATL,away,PHI,ATL,59,9/6/18,826,1726,3526,Half1,0,1,0,1,1,0,13:46:00,ATL 41,10,73,(13:46) D.Freeman right end to PHI 39 for 20 yards (M.Jenkins).,run,20,0,0,0,0,0,0,NA,NA,NA,NA,right,end,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.001298479,0.110984408,0.001151382,0.172567602,0.290626031,0.003632898,0.4197392,0,0,2.274089089,1.343799837,-2.802890451,2.802890451,-2.706306619,2.706306619,-0.8183435,0.8183435,NA,NA,0,0,-0.042240757,0.042240757,-0.776102743,0.776102743,-0.042240757,0.042240757,-0.776102743,0.776102743,0.548376671,0.451623329,0.451623329,0.548376671,0.045614363,0.406008966,0.593991034,-0.088891034,0.088891034,-0.026109122,0.026109122,NA,NA,0,0,-0.001562289,0.001562289,-0.024546833,0.024546833,-0.001562289,0.001562289,-0.024546833,0.024546833,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,00-0031285,D.Freeman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHI,NA,00-0026990,NA,M.Jenkins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,
146,2018090600,PHI,ATL,ATL,away,PHI,PHI,39,9/6/18,790,1690,3490,Half1,0,1,0,1,1,0,13:10:00,PHI 39,10,73,"(13:10) M.Ryan pass incomplete short right to C.Ridley (J.Mills, J.Hicks).",pass,0,0,0,1,0,0,0,short,right,4,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,8.72E-04,0.062362127,1.93E-04,0.096549728,0.345655602,0.003266393,0.491101441,0,0,3.617888926,-0.522052671,-2.280837779,2.280837779,-2.706306619,2.706306619,-0.296290829,0.296290829,-0.29677831,-0.225274361,0,0,-0.042240757,0.042240757,-0.776102743,0.776102743,0.254537552,-0.254537552,-0.550828381,0.550828381,0.593991034,0.406008966,0.406008966,0.593991034,-0.01710518,0.423114146,0.576885854,-0.088891034,0.088891034,-0.009003942,0.009003942,-0.009639922,-0.007465258,0,0,-0.001562289,0.001562289,-0.024546833,0.024546833,0.008077633,-0.008077633,-0.017081576,0.017081576,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0026143,M.Ryan,00-0034837,C.Ridley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0032803,J.Mills,00-0032129,J.Hicks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,
168,2018090600,PHI,ATL,ATL,away,PHI,PHI,39,9/6/18,785,1685,3485,Half1,0,1,0,1,2,0,13:05:00,PHI 39,10,73,(13:05) (Shotgun) M.Ryan pass incomplete short left to D.Freeman.,pass,0,1,0,1,0,0,0,short,left,-3,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,9.70E-04,0.074470874,3.97E-04,0.117097285,0.372979317,0.003563812,0.430522492,0,0,3.095836255,-0.845604572,-1.435233207,1.435233207,-2.706306619,2.706306619,0.549313743,-0.549313743,-1.053147195,0.207542623,0,0,-0.042240757,0.042240757,-0.776102743,0.776102743,1.307684748,-1.307684748,-0.758371005,0.758371005,0.576885854,0.423114146,0.423114146,0.576885854,-0.026845529,0.449959675,0.550040325,-0.088891034,0.088891034,0.017841587,-0.017841587,-0.033202223,0.006356694,0,0,-0.001562289,0.001562289,-0.024546833,0.024546833,0.041279856,-0.041279856,-0.02343827,0.02343827,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0026143,M.Ryan,00-0031285,D.Freeman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,
190,2018090600,PHI,ATL,ATL,away,PHI,PHI,39,9/6/18,781,1681,3481,Half1,0,1,0,1,3,0,13:01:00,PHI 39,10,73,(13:01) (Shotgun) M.Ryan pass deep left to J.Jones to PHI 6 for 33 yards (R.Darby).,pass,33,1,0,1,0,0,0,deep,left,24,9,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.001104216,0.093669214,5.93E-04,0.151156382,0.415009221,0.004755828,0.333711662,0,0,2.250231683,3.298404848,-4.733638055,4.733638055,-2.706306619,2.706306619,-2.749091105,2.749091105,2.289621861,1.008782987,2.289621861,1.008782987,-2.331862618,2.331862618,-1.78488573,1.78488573,-0.981937113,0.981937113,-1.767153992,1.767153992,0.550040325,0.449959675,0.449959675,0.550040325,0.113557282,0.336402393,0.663597607,-0.088891034,0.088891034,-0.095715696,0.095715696,0.076371588,0.037185695,0.076371588,0.037185695,-0.077933877,0.077933877,-0.061732528,0.061732528,-0.035091731,0.035091731,-0.060623964,0.060623964,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00-0026143,M.Ryan,00-0027944,J.Jones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHI,NA,00-0032195,NA,R.Darby,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,
214,2018090600,PHI,ATL,ATL,away,PHI,PHI,6,9/6/18,735,1635,3435,Half1,0,1,0,1,1,1,12:15:00,PHI 6,6,73,"(12:15) D.Freeman up the middle to PHI 1 for 5 yards (R.McLeod, S.Jones).",run,5,0,0,0,0,0,0,NA,NA,NA,NA,middle,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,2.54E-04,0.012103555,9.45E-06,0.014639749,0.2786638,0.001770906,0.692558731,0,0,5.548636531,0.585451898,-5.319089954,5.319089954,-3.291758517,3.291758517,-2.749091105,2.749091105,NA,NA,0,0,-2.331862618,2.331862618,-1.78488573,1.78488573,-0.981937113,0.981937113,-1.767153992,1.767153992,0.663597607,0.336402393,0.336402393,0.663597607,0.021648605,0.314753787,0.685246213,-0.11053964,0.11053964,-0.095715696,0.095715696,NA,NA,0,0,-0.077933877,0.077933877,-0.061732528,0.061732528,-0.035091731,0.035091731,-0.060623964,0.060623964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,00-0031285,D.Freeman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0028899,R.McLeod,PHI,00-0033543,S.Jones,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,
235,2018090600,PHI,ATL,ATL,away,PHI,PHI,1,9/6/18,701,1601,3401,Half1,0,1,0,1,2,1,11:41:00,PHI 1,1,73,"(11:41) D.Freeman left guard to PHI 1 for no gain (F.Cox, D.Barnett).",run,0,0,0,0,0,0,0,NA,NA,NA,NA,left,guard,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,2.05E-04,0.011427915,2.21E-04,0.015746674,0.125795025,0.004913626,0.841689928,0,0,6.134088429,-0.472157524,-4.84693243,4.84693243,-2.819600993,2.819600993,-2.749091105,2.749091105,NA,NA,0,0,-2.331862618,2.331862618,-1.78488573,1.78488573,-0.981937113,0.981937113,-1.767153992,1.767153992,0.685246213,0.314753787,0.314753787,0.685246213,-0.015245732,0.32999952,0.67000048,-0.095293907,0.095293907,-0.095715696,0.095715696,NA,NA,0,0,-0.077933877,0.077933877,-0.061732528,0.061732528,-0.035091731,0.035091731,-0.060623964,0.060623964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,00-0031285,D.Freeman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0029653,F.Cox,PHI,00-0033876,D.Barnett,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,
